"","Symbol","GICS.Sector"
"238","HST","Real Estate"
"229","HSY","Consumer Staples"
"241","HUM","Health Care"
"239","HWM","Industrials"
"253","IBM","Information Technology"
"252","ICE","Financials"
"245","IDXX","Health Care"
"244","IEX","Industrials"
"256","IFF","Materials"
"248","ILMN","Health Care"
"249","INCY","Health Care"
"246","INFO","Industrials"
"251","INTC","Information Technology"
"257","INTU","Information Technology"
"254","IP","Materials"
"255","IPG","Communication Services"
"260","IPGP","Information Technology"
"261","IQV","Health Care"
"250","IR","Industrials"
"262","IRM","Real Estate"
"258","ISRG","Health Care"
"210","IT","Information Technology"
"247","ITW","Industrials"
"259","IVZ","Financials"
"264","J","Industrials"
"265","JBHT","Industrials"
"268","JCI","Industrials"
"263","JKHY","Information Technology"
"267","JNJ","Health Care"
"270","JNPR","Information Technology"
"269","JPM","Financials"
"272","K","Consumer Staples"
"273","KEY","Financials"
"274","KEYS","Information Technology"
"280","KHC","Consumer Staples"
"276","KIM","Real Estate"
"278","KLAC","Information Technology"
"275","KMB","Consumer Staples"
"277","KMI","Energy"
"87","KMX","Consumer Discretionary"
"116","KO","Consumer Staples"
"281","KR","Consumer Staples"
"279","KSS","Consumer Discretionary"
"271","KSU","Industrials"
"297","L","Financials"
"282","LB","Consumer Discretionary"
"289","LDOS","Information Technology"
"288","LEG","Consumer Discretionary"
"290","LEN","Consumer Discretionary"
"284","LH","Health Care"
"283","LHX","Industrials"
"293","LIN","Materials"
"295","LKQ","Consumer Discretionary"
"291","LLY","Health Care"
"296","LMT","Industrials"
"292","LNC","Financials"
"21","LNT","Utilities"
"298","LOW","Consumer Discretionary"
"285","LRCX","Information Technology"
"422","LUV","Industrials"
"287","LVS","Consumer Discretionary"
"286","LW","Consumer Staples"
"299","LYB","Materials"
"294","LYV","Communication Services"
"308","MA","Information Technology"
"321","MAA","Real Estate"
"304","MAR","Consumer Discretionary"
"307","MAS","Industrials"
"311","MCD","Consumer Discretionary"
"318","MCHP","Information Technology"
"312","MCK","Health Care"
"326","MCO","Financials"
"324","MDLZ","Consumer Staples"
"313","MDT","Health Care"
"315","MET","Financials"
"317","MGM","Consumer Discretionary"
"322","MHK","Consumer Discretionary"
"309","MKC","Consumer Staples"
"303","MKTX","Financials"
"306","MLM","Materials"
"305","MMC","Financials"
"1","MMM","Industrials"
"325","MNST","Consumer Staples"
"25","MO","Consumer Staples"
"328","MOS","Materials"
"302","MPC","Energy"
"314","MRK","Health Care"
"301","MRO","Energy"
"327","MS","Financials"
"330","MSCI","Financials"
"320","MSFT","Information Technology"
"329","MSI","Information Technology"
"300","MTB","Financials"
"316","MTD","Health Care"
"319","MU","Information Technology"
"310","MXIM","Information Technology"
"331","MYL","Health Care"
"344","NBL","Energy"
"349","NCLH","Consumer Discretionary"
"332","NDAQ","Financials"
"340","NEE","Utilities"
"337","NEM","Materials"
"335","NFLX","Communication Services"
"343","NI","Utilities"
"342","NKE","Consumer Discretionary"
"348","NLOK","Information Technology"
"341","NLSN","Industrials"
"347","NOC","Industrials"
"333","NOV","Energy"
"415","NOW","Information Technology"
"350","NRG","Utilities"
"345","NSC","Industrials"
"334","NTAP","Information Technology"
"346","NTRS","Financials"
"351","NUE","Materials"
"352","NVDA","Information Technology"
"353","NVR","Consumer Discretionary"
"336","NWL","Consumer Discretionary"
"339","NWS","Communication Services"
"338","NWSA","Communication Services"
"396","O","Real Estate"
"356","ODFL","Industrials"
"358","OKE","Energy"
"357","OMC","Communication Services"
"359","ORCL","Information Technology"
"354","ORLY","Consumer Discretionary"
"360","OTIS","Industrials"
"355","OXY","Energy"
"365","PAYC","Information Technology"
"364","PAYX","Information Technology"
"368","PBCT","Financials"
"361","PCAR","Industrials"
"227","PEAK","Real Estate"
"385","PEG","Utilities"
"369","PEP","Consumer Staples"
"372","PFE","Health Care"
"380","PFG","Financials"
"381","PG","Consumer Staples"
"382","PGR","Financials"
"363","PH","Industrials"
"387","PHM","Consumer Discretionary"
"362","PKG","Materials"
"370","PKI","Health Care"
"383","PLD","Real Estate"
"373","PM","Consumer Staples"
"377","PNC","Financials"
"367","PNR","Industrials"
"375","PNW","Utilities"
"378","PPG","Materials"
"379","PPL","Utilities"
"371","PRGO","Health Care"
"384","PRU","Financials"
"386","PSA","Real Estate"
"374","PSX","Energy"
"388","PVH","Consumer Discretionary"
"390","PWR","Industrials"
"376","PXD","Energy"
"366","PYPL","Information Technology"
"391","QCOM","Information Technology"
"389","QRVO","Information Technology"
"407","RCL","Consumer Discretionary"
"180","RE","Financials"
"397","REG","Real Estate"
"398","REGN","Health Care"
"399","RF","Financials"
"402","RHI","Industrials"
"394","RJF","Financials"
"393","RL","Consumer Discretionary"
"401","RMD","Health Care"
"403","ROK","Industrials"
"404","ROL","Industrials"
"405","ROP","Industrials"
"406","ROST","Consumer Discretionary"
"400","RSG","Industrials"
"395","RTX","Industrials"
"410","SBAC","Real Estate"
"424","SBUX","Consumer Discretionary"
"100","SCHW","Financials"
"413","SEE","Materials"
"416","SHW","Materials"
"428","SIVB","Financials"
"266","SJM","Consumer Staples"
"411","SLB","Energy"
"419","SLG","Real Estate"
"420","SNA","Industrials"
"430","SNPS","Information Technology"
"421","SO","Utilities"
"417","SPG","Real Estate"
"408","SPGI","Financials"
"414","SRE","Utilities"
"426","STE","Health Care"
"425","STT","Financials"
"412","STX","Information Technology"
"125","STZ","Consumer Staples"
"423","SWK","Industrials"
"418","SWKS","Information Technology"
"429","SYF","Financials"
"427","SYK","Health Care"
"431","SYY","Consumer Staples"
"54","T","Communication Services"
"323","TAP","Consumer Staples"
"448","TDG","Industrials"
"439","TDY","Industrials"
"437","TEL","Information Technology"
"450","TFC","Financials"
"440","TFX","Health Care"
"436","TGT","Consumer Discretionary"
"444","TIF","Consumer Discretionary"
"445","TJX","Consumer Discretionary"
"443","TMO","Health Care"
"432","TMUS","Communication Services"
"435","TPR","Consumer Discretionary"
"433","TROW","Financials"
"449","TRV","Financials"
"446","TSCO","Consumer Discretionary"
"453","TSN","Consumer Staples"
"447","TT","Industrials"
"434","TTWO","Communication Services"
"451","TWTR","Communication Services"
"441","TXN","Information Technology"
"442","TXT","Industrials"
"452","TYL","Technology"
"458","UA","Consumer Discretionary"
"457","UAA","Consumer Discretionary"
"460","UAL","Industrials"
"454","UDR","Real Estate"
"464","UHS","Health Care"
"455","ULTA","Consumer Discretionary"
"461","UNH","Health Care"
"465","UNM","Financials"
"459","UNP","Industrials"
"462","UPS","Industrials"
"463","URI","Industrials"
"456","USB","Financials"
"475","V","Information Technology"
"468","VAR","Health Care"
"466","VFC","Consumer Discretionary"
"474","VIAC","Communication Services"
"467","VLO","Energy"
"477","VMC","Materials"
"476","VNO","Real Estate"
"471","VRSK","Industrials"
"470","VRSN","Information Technology"
"473","VRTX","Health Care"
"469","VTR","Real Estate"
"472","VZ","Communication Services"
"479","WAB","Industrials"
"484","WAT","Health Care"
"481","WBA","Consumer Staples"
"489","WDC","Information Technology"
"485","WEC","Utilities"
"487","WELL","Real Estate"
"486","WFC","Financials"
"493","WHR","Consumer Discretionary"
"495","WLTW","Financials"
"483","WM","Industrials"
"494","WMB","Energy"
"480","WMT","Consumer Staples"
"478","WRB","Financials"
"491","WRK","Materials"
"488","WST","Health Care"
"490","WU","Information Technology"
"492","WY","Real Estate"
"496","WYNN","Consumer Discretionary"
"497","XEL","Utilities"
"499","XLNX","Information Technology"
"185","XOM","Energy"
"142","XRAY","Health Care"
"498","XRX","Information Technology"
"500","XYL","Industrials"
"501","YUM","Consumer Discretionary"
"503","ZBH","Health Care"
"502","ZBRA","Information Technology"
"504","ZION","Financials"
"505","ZTS","Health Care"
